GSE15533	Sakai chlorine / control...	0.828
ecs0779	ecs0779	8.485	0.368
c0826	c0826	8.485	0.368
b0754	b0754	2.424	1.935
b0760	b0760	1.963	0.416
b0766	b0766	8.993	-0.145
ecs0794	ecs0794	8.993	-0.145
z0936	z0936	8.993	-0.145
c0843	c0843	8.993	-0.145
b0767	b0767	1.793	-1.777
c0844	c0844	1.793	-1.777
b0769	b0769	8.923	0.212
z0940	z0940	8.923	0.212
ecs0797	ecs0797	8.923	0.212
c0846	c0846	8.923	0.212
b0770	b0770	7.754	0.103
z0941	z0941	7.754	0.103
ecs0798	ecs0798	7.754	0.103
b0771	b0771	4.403	-1.082
ecs0799	ecs0799	4.403	-1.082
z0942	z0942	4.403	-1.082
b0774	b0774	8.887	0.347
z0993	z0993	8.887	0.347
ecs0852	ecs0852	8.887	0.347
c0853	c0853	8.887	0.347
b0778	b0778	2.014	-0.918
b0780	b0780	2.165	-3.293
b0782	b0782	9.994	-0.160
c0863	c0863	9.994	-0.160
ecs0860	ecs0860	9.994	-0.160
z1001	z1001	9.994	-0.160
b0787	b0787	9.351	0.192
ecs0865	ecs0865	9.351	0.192
z1006	z1006	9.351	0.192
b0798	b0798	-0.714	-1.114
b0806	b0806	9.867	2.382
ecs0884	ecs0884	9.867	2.382
c0891	c0891	9.867	2.382
z1027	z1027	9.867	2.382
b0808	b0808	4.982	-0.752
b0809	b0809	2.202	-2.329
c0894	c0894	2.202	-2.329
b0815	b0815	8.868	-0.014
ecs0893	ecs0893	8.868	-0.014
z1037	z1037	8.868	-0.014
c0901	c0901	8.868	-0.014
b0816	b0816	8.464	0.191
b0824	b0824	9.139	0.044
b0826	b0826	3.793	-0.515
b0827	b0827	3.625	-0.140
b0830	b0830	9.486	0.846
ecs0909	ecs0909	9.486	0.846
c0915	c0915	9.486	0.846
z1054	z1054	9.486	0.846
b0836	b0836	9.771	0.387
c0921	c0921	9.771	0.387
ecs0916	ecs0916	9.771	0.387
z1062	z1062	9.771	0.387
b0839	b0839	9.729	0.629
ecs0919	ecs0919	9.729	0.629
z1066	z1066	9.729	0.629
c0924	c0924	9.729	0.629
b0846	b0846	9.464	0.030
ecs0926	ecs0926	9.464	0.030
z1073	z1073	9.464	0.030
c0931	c0931	9.464	0.030
b0854	b0854	2.861	-0.402
b0855	b0855	0.469	-0.769
b0859	b0859	1.237	-2.436
b0861	b0861	9.486	0.100
z1091	z1091	9.486	0.100
ecs0944	ecs0944	9.486	0.100
c0994	c0994	9.486	0.100
b0862	b0862	1.115	0.848
c0995	c0995	1.115	0.848
b0865	b0865	1.043	-2.957
b0867	b0867	8.890	0.344
z1100	z1100	8.890	0.344
ecs0953	ecs0953	8.890	0.344
c1000	c1000	8.890	0.344
b0868	b0868	9.031	-0.397
z1102	z1102	9.031	-0.397
c1001	c1001	9.031	-0.397
ecs0954	ecs0954	9.031	-0.397
b0869	b0869	6.502	-0.829
b0871	b0871	4.274	-1.925
b0876	b0876	3.650	-0.033
b0877	b0877	11.904	-0.277
z1112	z1112	11.904	-0.277
ecs0963	ecs0963	11.904	-0.277
c1012	c1012	11.904	-0.277
b0898	b0898	9.515	0.168
c1037	c1037	9.515	0.168
ecs0983	ecs0983	9.515	0.168
z1244	z1244	9.515	0.168
b0900	b0900	3.511	-1.080
b0901	b0901	3.189	-0.478
b0905	b0905	0.950	0.063
b0908	b0908	8.383	0.214
ecs0991	ecs0991	8.383	0.214
z1254	z1254	8.383	0.214
b0913	b0913	3.305	-0.768
b0920	b0920	-1.182	0.244
c1061	c1061	-1.182	0.244
b0923	b0923	10.305	-0.375
z1270	z1270	10.305	-0.375
ecs1006	ecs1006	10.305	-0.375
c1065	c1065	10.305	-0.375
b0927	b0927	10.120	-0.246
c1069	c1069	10.120	-0.246
z1274	z1274	10.120	-0.246
ecs1010	ecs1010	10.120	-0.246
b0928	b0928	10.708	0.359
c1070	c1070	10.708	0.359
z1275	z1275	10.708	0.359
ecs1011	ecs1011	10.708	0.359
b0935	b0935	8.685	0.256
z1283	z1283	8.685	0.256
ecs1018	ecs1018	8.685	0.256
c1078	c1078	8.685	0.256
b0936	b0936	0.887	-2.012
b0937	b0937	3.237	-0.873
b0938	b0938	9.068	0.207
z1286	z1286	9.068	0.207
ecs1021	ecs1021	9.068	0.207
b0940	b0940	5.046	-0.016
b0941	b0941	5.665	0.058
b0944	b0944	8.467	0.391
b0945	b0945	2.058	-4.124
b0951	b0951	9.072	-0.561
c1087	c1087	9.072	-0.561
ecs1035	ecs1035	9.072	-0.561
z1301	z1301	9.072	-0.561
b0958	b0958	10.251	0.694
ecs1042	ecs1042	10.251	0.694
c1095	c1095	10.251	0.694
z1308	z1308	10.251	0.694
b0965	b0965	9.676	0.205
z1317	z1317	9.676	0.205
ecs1049	ecs1049	9.676	0.205
c1102	c1102	9.676	0.205
b0985	b0985	10.139	-0.759
z1402	z1402	10.139	-0.759
ecs1141	ecs1141	10.139	-0.759
b0991	b0991	7.266	0.157
ecs1146	ecs1146	7.266	0.157
c1124	c1124	7.266	0.157
z1408	z1408	7.266	0.157
b0993	b0993	3.750	-0.413
b1001	b1001	-0.788	0.324
b1005	b1005	8.901	0.257
b1012	b1012	10.173	0.157
z1511	z1511	10.173	0.157
ecs1258	ecs1258	10.173	0.157
c1149	c1149	10.173	0.157
b1013	b1013	9.638	0.115
c1150	c1150	9.638	0.115
ecs1259	ecs1259	9.638	0.115
z1512	z1512	9.638	0.115
b1017	b1017	8.894	-0.096
b1019	b1019	9.009	0.099
z1521	z1521	9.009	0.099
ecs1265	ecs1265	9.009	0.099
b1021	b1021	9.112	0.115
ecs1267	ecs1267	9.112	0.115
c1160	c1160	9.112	0.115
z1523	z1523	9.112	0.115
b1029	b1029	9.159	0.114
z1558	z1558	9.159	0.114
